Name,Score
Raj,4
Rita,7
Sita,19
Raj,9
Rai,25
Samay,140
Rao,9
Riy,3
t,2
i,2
a,3
Rai,3
Rao,5
e,2
e,3
Rai,8
Rao,26
A,12
Ajay,42
Rai,4
Shiv,79
q,5
Rai,35
a,3
b,3
e,2
t,2
e,3
ee,3
w,3
i,3
1,6
u,2
e,3
w,5
e,3
w,3
t,4
r,38
w,2
y,3
e,3
w,3
w,3
q,3
w,3
urawe,28
Shiv,120
e,5
you,48
q,8
w,6
w,5
r,13
shivesh,200
e,2
t,2
e,5
s1,171
s2,91
r,4
Ram,99
q,11
raju,40
Ram,180
Rajesh,249
q,3
a,5
q,4
q,2
a,4
q,3
w,3
a,66
e,7
o,3
a,14
Aman,20
Ram,27
Sita,4
Ram,30
Rahul,50
rot,7
Rut,42
t,3
a,91
a,3
a,4
ram,61
abc,62
Shiv,189
g,3
w,16
s,7
a,82
q,108
a,12
s,21
a,100
Raj,42
p,5
Shivesh,219
a,6
a,28
awe,197
Shiv,50
as,6
a,8
a,20
a,180
a,81
q,7
q,7
awesome,226
qwesoe,17
a,14
a,4
a,5
you,17
q,49
as,13
a,32
a,50
RRam,27
Raju,82
raj,9
Shivesh,59
a,7
